"н.э.","T anomaly"
1511,-0.4058
1512,-0.3139
1513,-0.3548
1514,-0.3719
1515,-0.395
1516,-0.4621
1517,-0.3793
1518,-0.4365
1519,-0.4159
1520,-0.446
1521,-0.4508
1522,-0.4658
1523,-0.4754
1524,-0.475
1525,-0.386
1526,-0.4049
1527,-0.3284
1528,-0.4461
1529,-0.3799
1530,-0.3119
1531,-0.3569
1532,-0.3569
1533,-0.4068
1534,-0.3717
1535,-0.3077
1536,-0.3472
1537,-0.3189
1538,-0.3519
1539,-0.2917
1540,-0.4098
1541,-0.3878
1542,-0.4565
1543,-0.4772
1544,-0.5137
1545,-0.3401
1546,-0.4005
1547,-0.4103
1548,-0.4029
1549,-0.4073
1550,-0.3234
1551,-0.3031
1552,-0.3094
1553,-0.3338
1554,-0.3746
1555,-0.3879
1556,-0.3527
1557,-0.3958
1558,-0.306
1559,-0.4008
1560,-0.2799
1561,-0.3276
1562,-0.2968
1563,-0.2589
1564,-0.2252
1565,-0.2219
1566,-0.2837
1567,-0.3429
1568,-0.3181
1569,-0.2837
1570,-0.3209
1571,-0.4008
1572,-0.4119
1573,-0.4049
1574,-0.388
1575,-0.2829
1576,-0.3129
1577,-0.3748
1578,-0.4644
1579,-0.5065
1580,-0.4767
1581,-0.4398
1582,-0.3882
1583,-0.3576
1584,-0.4348
1585,-0.4636
1586,-0.4535
1587,-0.4989
1588,-0.4155
1589,-0.4709
1590,-0.4393
1591,-0.446
1592,-0.4159
1593,-0.4979
1594,-0.3969
1595,-0.4372
1596,-0.4737
1597,-0.4618
1598,-0.4235
1599,-0.4657
1600,-0.443
1601,-0.7128
1602,-0.5863
1603,-0.5084
1604,-0.5022
1605,-0.5666
1606,-0.5577
1607,-0.5086
1608,-0.516
1609,-0.5069
1610,-0.4609
1611,-0.3846
1612,-0.4318
1613,-0.3988
1614,-0.4179
1615,-0.4629
1616,-0.3509
1617,-0.3719
1618,-0.4659
1619,-0.4163
1620,-0.4723
1621,-0.4887
1622,-0.4667
1623,-0.5239
1624,-0.5577
1625,-0.5523
1626,-0.5037
1627,-0.5078
1628,-0.4491
1629,-0.383
1630,-0.4394
1631,-0.4709
1632,-0.4182
1633,-0.4541
1634,-0.326
1635,-0.395
1636,-0.3377
1637,-0.3958
1638,-0.4117
1639,-0.4493
1640,-0.3808
1641,-0.6138
1642,-0.5683
1643,-0.5896
1644,-0.554
1645,-0.5289
1646,-0.5464
1647,-0.5309
1648,-0.4808
1649,-0.4386
1650,-0.4509
1651,-0.3856
1652,-0.4988
1653,-0.4658
1654,-0.4446
1655,-0.3779
1656,-0.3519
1657,-0.3149
1658,-0.3566
1659,-0.3638
1660,-0.3259
1661,-0.3276
1662,-0.3919
1663,-0.4868
1664,-0.3978
1665,-0.451
1666,-0.4812
1667,-0.4888
1668,-0.5016
1669,-0.5031
1670,-0.5488
1671,-0.4598
